Lon,Lat,Prev Full Moon UTC,Next Full Moon UTC,Dawn Start Local,tag,days
-95,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T06:56:03.111384+00:00,migrated,30
-94,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T06:52:04.680222+00:00,migrated,30
-93,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T06:48:06.248117+00:00,migrated,30
-92,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T06:44:07.815072+00:00,migrated,30
-91,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T06:40:09.381087+00:00,migrated,30
-90,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T06:36:10.946166+00:00,migrated,30
-89,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T06:32:12.510310+00:00,migrated,30
-88,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T06:28:14.073520+00:00,migrated,30
-87,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T06:24:15.635798+00:00,migrated,30
-86,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T06:20:17.197148+00:00,migrated,30
-85,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T06:16:18.757569+00:00,migrated,30
-84,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T06:12:20.317064+00:00,migrated,30
-83,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T06:08:21.875635+00:00,migrated,30
-82,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T06:04:23.433283+00:00,migrated,30
-81,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T06:00:24.990011+00:00,migrated,30
-80,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T05:56:26.545820+00:00,migrated,30
-79,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T05:52:28.100712+00:00,migrated,30
-78,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T05:48:29.654689+00:00,migrated,30
-77,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T05:44:31.207752+00:00,migrated,30
-76,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T05:40:32.759903+00:00,migrated,30
-75,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T05:36:34.311145+00:00,migrated,30
-74,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T05:32:35.861478+00:00,migrated,30
-73,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T05:28:37.410905+00:00,migrated,30
-72,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T05:24:38.959427+00:00,migrated,30
